Level,Reward Avg,Reward Std,Distance Avg,Distance Std,Completion Rate
1-1,770.4,506.47,850.2,522.68,0.0
1-3,339.4,154.93,404.6,157.55,0.0
2-1,403.8,174.07,471.4,179.29,0.0
2-3,911.0,439.81,988.2,449.24,0.0
4-1,701.6,414.92,775.2,424.35,0.0
5-1,324.8,184.36,390.2,187.72,0.0
5-2,516.6,239.13,593.6,247.76,0.0
5-3,306.0,117.83,370.4,119.95,0.0
7-1,717.2,361.0,794.8,372.66,0.0
7-3,696.8,177.46,772.4,182.31,0.0
8-1,693.2,256.54,767.2,264.31,0.0
8-2,262.0,65.77,328.8,68.76,0.0
8-3,537.6,375.79,611.0,386.27,0.0
